ParkID,Park,Score,Facility Type,Facility Name,Address,State,Zipcode,Square Feet,Perimeter Length(ft),Acres,Longitude,Latitude
203,Broadway Tunnel West Mini Park,0.9309999999999999,Picnic Area,Pine Lake Park Picnic Areas,Sloat Blvd & Vale St,CA,94116,"1,360.96",151.88,0.03,-122.48736957,37.73608483
106,Beideman-O'Farrell Mini Park,0.895,Restroom,Rogers: Restrooms,Ingalls & Oakdale,CA,94124,541.24,94.82,0.01,-122.38372054,37.73087851
182,Fillmore-Turk Mini Park,0.767,Clubhouse,J. P. Murphy Clubhouse,1960 9th Ave,CA,94116,"2,599.03",236.38,0.06,-122.46524302,37.75156572
55,Franklin Square,0.8490000000000001,Basketball Court,Crocker Amazon Basketball Courts,Moscow & Italy St,CA,94112,"16,364.79",724.78,0.38,-122.43084993,37.71474057
193,Esprit Park,0.9390000000000001,Clubhouse,MS Hayward Historic Clubhouse,1016 Laguna,CA,94102,"1,016.87",169.68,0.02,-122.42668959,37.7807431
93,Sunset Playground,0.9309999999999999,Basketball Court,Rochambeau Basketball Courts,24th Ave & Lake,CA,94121,"11,519.33",640.90,0.26,-122.48460259999999,37.78477532
80,Corona Heights,0.8809999999999999,Basketball Court,Miraloma Basketball Courts,Omar & Sequoia Way,CA,94127,"6,480.24",333.89,0.15,-122.44913152,37.73905066
75,Eureka Valley Recreation Center,0.963,Basketball Court,Little Hollywood Basketball Courts,Lathrop & Tocoloma,CA,94134,"3,785.60",257.53,0.09,-122.39780481,37.71007449
113,Duboce Park,0.98,Restroom,Larsen Restrooms,19th Ave & Vicente,CA,94116,323.65,77.39,0.01,-122.47604401,37.73945888
28,John McLaren Park,0.733,Ball Field,Parkside ball fields,28th Ave & Vicente,CA,94116,"104,340.63","1,513.14",2.40,-122.48430123,37.73838541
46,Adam Rogers Park,0.7240000000000001,Basketball Court,Bernal Hts RC  Basketball Courts,500 Moultrie St,CA,94110,"3,530.33",244.47,0.08,-122.41633421,37.73824803
88,McCoppin Square,0.98,Basketball Court,Parkside Square Basketball Courts,28th Ave & Vicente,CA,94116,"2,332.73",203.41,0.05,-122.48342987,37.73875894
47,Hilltop Park,0.833,Basketball Court,Victoria Manalo DravesBsktball Crts,Folsom & Sherman St,CA,94103,"7,339.79",361.09,0.17,-122.40660765,37.77738554
10,Lake Merced Park,0.836,Ball Field,Eureka Valley Ball Fields,100 Collingwood,CA,94114,"32,412.15",705.06,0.74,-122.4366393,37.7595074
57,Eugene Friend Recreation Center,0.97,Basketball Court,Excelsior Basketball Courts,Russia Ave & Madrid,CA,94112,"5,882.71",313.13,0.14,-122.43331869,37.71994082
84,Parkside Square,0.941,Basketball Court,Noe Valley Courts Basketball Courts,24th & Douglass St,CA,94114,"4,366.99",273.78,0.10,-122.43903453,37.75155961
9,Rolph Nicol Playground,0.8540000000000001,Dog Play Area,Douglass dog play area,26th & Douglass Street,CA,94114,"70,655.34","1,153.02",1.62,-122.43889466,37.74674101
145,Ina Coolbrith Mini Park,0.7390000000000001,Restroom,Noe Valley Courts Bathrooms,24th & Douglass St,CA,94114,391.33,98.01,0.01,-122.43921804,37.75148479
127,Cottage Row Mini Park,0.853,Restroom,GGP2 Japanese Tea Garden Women's Bathrm,Stanyan & Great Hwy,CA,94117,390.48,116.42,0.01,-122.46944064,37.7704745
167,Midtown Terrace Playground,0.973,Activity Center,GGP5 Anglers Lodge,Stanyan & Great Hwy,CA,94117,"2,013.01",212.44,0.05,-122.49656408,37.76799666
53,McKinley Square,0.877,Basketball Court,Basketball Courts,Washington & Mason St,CA,94108,"4,599.32",285.19,0.11,-122.41204267,37.79411551
40,Joseph Lee Recreation Center,0.907,Ball Field,Youngblood Coleman Ball Fields,Mendell & Galvez,CA,94124,"47,940.28",980.15,1.10,-122.38434099999999,37.73860918
144,Washington-Hyde Mini Park,0.9390000000000001,Restroom,Mountain Lake Restrooms,12th Ave & Lake St,CA,94118,907.68,158.00,0.02,-122.47175615,37.78697309
38,Bay View Playground,0.883,Ball Field,Visitacion Valley Ball Fields,Cora & Leland St,CA,94134,"53,257.90",886.44,1.22,-122.40908358,37.71227452
196,Head-Brotherhood Mini Park,0.405,Maintenance Facility,Michelangelo Gardeners Shed,Greenwich & Jones,CA,94133,249.74,68.37,0.01,-122.41678045,37.80126925
17,Merced Heights Playground,0.9009999999999999,Ball Field,Jackson ball fields,17th & Arkansas Street,CA,94107,"147,298.32","1,631.63",3.38,-122.39966866,37.7644047
63,Mission Dolores Park,0.9420000000000001,Basketball Court,Head/Brotherhood Basketball Courts,Head St & Brotherhood Way,CA,94112,"5,011.46",296.28,0.12,-122.46417493,37.7126251
59,Mission Recreation Center,0.9740000000000001,Basketball Court,Gilman Basketball Courts,Gilman Ave & Griffith,CA,94124,"4,238.10",269.29,0.10,-122.38856943,37.71697286
201,Prentiss Mini Park,0.968,Clubhouse,Peixotto Clubhouse,15th St & Roosevelt,CA,94114,"2,206.76",197.19,0.05,-122.43763555,37.7656256
166,Julius Kahn Playground,0.975,Clubhouse,Gilman Clubhouse,Gilman Ave & Griffith,CA,94124,"3,479.97",236.52,0.08,-122.38832992,37.71682579
102,Mountain Lake Park,0.79,Basketball Court,Upper Noe Basketball Courts,Day & Sanchez St,CA,94131,"5,471.94",304.93,0.13,-122.42795075,37.74226468
108,Bush-Broderick Mini Park,0.762,Restroom,Alta: Restrooms,Jackson & Steiner,CA,94115,213.12,60.73,0.00,-122.43815497,37.7912412
27,Visitacion Valley Playground,0.909,Ball Field,Ocean View Ball Fields,Capitol & Montana Street,CA,94112,"135,493.23","2,241.10",3.11,-122.45760265,37.71549811
48,India Basin Shoreline Park,0.867,Basketball Court,Boeddeker Park Basketball Courts,295 Eddy St,CA,94102,"2,591.24",203.79,0.06,-122.41243003,37.78432754
155,Muriel Leff Mini Park,1.0,Clubhouse,Argonne: Clubhouse,18th Ave  &  Geary Blvd,CA,94121,"1,629.31",213.18,0.04,-122.47766682,37.77958789
105,Angelo J. Rossi Playground,0.9309999999999999,Basketball Court,YoungbloodColeman Basketball Courts,Mendell & Galvez,CA,94124,"10,461.24",450.06,0.24,-122.38380193,37.73816799
122,Jefferson Square,0.7559999999999999,Restroom,GGP4 Mothers Meadow Bathroom,M.L. King Dr/19th Ave,CA,94117,"1,381.34",154.49,0.03,-122.47668133,37.76637364
72,Noe Valley Courts,0.924,Basketball Court,Kelloch Velasco Basketball Courts,Kelloch & Velasco St,CA,94134,"8,317.78",532.85,0.19,-122.41281406,37.70844554
188,Palou-Phelps Park,0.902,Clubhouse,Julius Kahn Clubhouse,West Pacific Ave & Spruce St,CA,94118,"1,443.45",163.63,0.03,-122.45373436,37.79124744
4,Walter Haas Playground,0.893,Ball Field,Balboa ball fields,Ocean & San Jose,CA,94112,"223,812.90","5,432.16",5.14,-122.44532438,37.72402602
32,Holly Park,0.9359999999999999,Ball Field,Silver Terrace Ball Fields,Thornton & Bayshore,CA,94124,"144,641.95","2,286.76",3.32,-122.40329777,37.73298657
148,Michelangelo Playground,0.877,Restroom,St Mary's Square Bathrooms,California St & Grant St,CA,94108,448.58,94.36,0.01,-122.40507908,37.79171479
131,Allyne Park,0.75,Restroom,GGP1 Sharon Meadow Bathroom,Sharon Meadow,CA,94117,"1,925.50",201.75,0.04,-122.45891022,37.76818303
168,Tenderloin Children's Recreation Center,0.909,Activity Center,GGP2 Bowling Green Clubhouse,Stanyan & Great Hwy,CA,94117,"2,741.30",210.54,0.06,-122.45896828,37.76859841
33,Bernal Heights Recreation Center,0.986,Ball Field,South Sunset Ball Fields,40th Ave & Vicente St,CA,94116,"97,238.46","1,772.81",2.23,-122.49845826,37.73710357
34,Coleridge Mini Park,0.976,Ball Field,St Mary's Ball Fields,Murray & Justin Dr,CA,94112,"84,078.55","1,213.73",1.93,-122.42088341,37.7344511
30,Palega Recreation Center,0.94,Ball Field,Potrero Hill ball fields,801 Arkansas Street,CA,94107,"140,706.05","1,431.24",3.23,-122.39699911,37.75553944
66,Balboa Park,0.816,Basketball Court,J. P. Murphy Basketball Courts,1960 9th Ave,CA,94116,"5,492.96",305.77,0.13,-122.46492925,37.75169429
149,Telegraph Hill/Pioneer Park,1.0,Restroom,States Street Restrooms,States St,CA,94114,298.62,80.85,0.01,-122.43856985,37.76376486
139,Willie Woo Woo Wong Playground,0.882,Restroom,Lower Great Highway Judah Restrooms,Great Hwy & Noriega,CA,94122,"1,844.32",190.93,0.04,-122.50955359999999,37.76024004
192,Turk-Hyde Mini Park,0.85,Activity Center,Lincoln Park Golf Course Clubhouse,34th Ave & Clement,CA,94121,"8,288.49",571.18,0.19,-122.49430875,37.78226619
163,Lower Great Highway,0.946,Clubhouse,Douglass Clubhouse,26th & Douglass St,CA,94114,"1,125.83",175.94,0.03,-122.43839743,37.74780728
128,Lafayette Park,0.8490000000000001,Restroom,GGP1 Panhandle Restroom Bldg,Stanyan & Great Hwy,CA,94117,"1,727.52",166.46,0.04,-122.44757749,37.77208711
54,Jackson Playground,0.951,Basketball Court,Jose Coronado Basketball Courts,21st & Folsom,CA,94110,"6,941.85",354.07,0.16,-122.41525922,37.75750603
45,Youngblood Coleman Playground,0.948,Basketball Court,Argonne: Basketball,18th Ave  &  Geary Blvd,CA,94121,"4,209.02",268.01,0.10,-122.47793647,37.77928896
25,Alice Chalmers Playground,0.9570000000000001,Ball Field,Miraloma ball fields,Omar & Sequoia Way,CA,94127,"47,658.91",875.96,1.09,-122.4493957,37.73853897
73,Seward Mini Park,0.9229999999999999,Basketball Court,Koshland Park Basketball Courts,Page & Buchanan,CA,94102,"1,589.22",151.94,0.04,-122.42699192,37.77327797
200,States Street Playground,0.938,Clubhouse,Parque Ninos Unidos Clubhouse,23rd & Treat St,CA,94110,"2,043.34",288.86,0.05,-122.41389356,37.75431392
60,Jose Coronado Playground,0.9570000000000001,Basketball Court,GGP1 Panhandle Basketball Courts,Stanyan & Great Hwy,CA,94117,"4,645.55",279.47,0.11,-122.44838047,37.77230438
114,Page-Laguna Mini Park,1.0,Maintenance Facility,Huntington Park Maint Bldgs,California & Taylor,CA,94108,299.71,64.77,0.01,-122.41227409999999,37.7920544
60,Jose Coronado Playground,0.961,Basketball Court,GGP1 Panhandle Basketball Courts,Stanyan & Great Hwy,CA,94117,"4,645.55",279.47,0.11,-122.44838047,37.77230438
138,Justin Herman-Embarcadero Plaza,0.9209999999999999,Restroom,Lafayette Park Restrooms,Washington & Laguna St,CA,94115,787.53,120.23,0.02,-122.42812055,37.79170701
37,Precita Park,0.9490000000000001,Ball Field,Upper Noe Ball Fields,Day & Sanchez St,CA,94131,"41,131.46",843.26,0.94,-122.42748055,37.74242329
97,Argonne Playground,0.816,Basketball Court,South Sunset Basketball Courts,40th Ave & Vicente St,CA,94116,"12,719.85",451.65,0.29,-122.49851407,37.73781117
95,Cabrillo Playground,1.0,Basketball Court,Silver Terrace Basketball Courts,Thornton & Bayshore,CA,94124,"6,430.66",324.46,0.15,-122.40237246,37.73280967
42,Little Hollywood Park,0.722,Basketball Court,Chalmers: Basketball,670 Brunswick & Lowell Roemer,CA,94112,"8,546.61",381.78,0.20,-122.44714807,37.70979694
65,Aptos Playground,0.88,Basketball Court,Holly Park Basketball Courts,Holly Park Cir,CA,94110,"5,308.30",303.45,0.12,-122.42038592,37.73698333
24,Garfield Square,1.0,Ball Field,McCoppin Ball Fields,24th & Taraval,CA,94116,"77,985.77","1,152.14",1.79,-122.47987668,37.74401981
199,Coso-Precita Mini Park,0.95,Maintenance Facility,Mission Dolores Park Maintenance Building,19th & Dolores St,CA,94110,"1,172.48",140.29,0.03,-122.42685893,37.75962315
99,Rochambeau Playground,0.938,Basketball Court,States Street Basketball Courts,States St,CA,94114,"7,840.90",361.90,0.18,-122.43813886,37.76370219
98,DuPont Courts,0.902,Basketball Court,St Mary's Basketball Courts,Murray & Justin Dr,CA,94112,"7,571.20",375.26,0.17,-122.42106171,37.73337066
96,Fulton Playground,0.937,Basketball Court,Friend Basketball Courts,270 6th St,CA,94103,"6,206.84",325.53,0.14,-122.40664464,37.77871683
170,Woh Hei Yuen Park,0.9440000000000001,Activity Center,GGP3 County Fair Bldg,Stanyan & Great Hwy,CA,94117,"28,191.72","1,359.81",0.65,-122.46716526,37.76656383
117,Alamo Square,0.716,Restroom,Gilman Bathrooms,Gilman Ave & Griffith,CA,94124,378.67,94.26,0.01,-122.38877192,37.71717866
134,Father Alfred E. Boeddeker Park,0.851,Restroom,Holly Park Bathrooms,Holly Park Cir,CA,94110,446.50,92.09,0.01,-122.42057329,37.73711761
123,Sgt. John Macaulay Park,0.8390000000000001,Restroom,GGP1 Horseshoe Pits Bathroom,Stanyan & Great Hwy,CA,94117,349.76,77.86,0.01,-122.45598222,37.77374756
15,Cayuga Playground,0.9,Ball Field,Holly ball fields,Holly Park Circle,CA,94110,"41,701.51",811.86,0.96,-122.41988213,37.73755457
83,Sigmund Stern Recreation Grove,0.8220000000000001,Basketball Court,Moscone Basketball Courts,1800 Chestnut St,CA,94123,"10,434.79",594.33,0.24,-122.43314293,37.80208974
67,Sunnyside Playground,1.0,Basketball Court,Jackson Basketball Courts,17th & Arkansas St,CA,94107,"9,047.84",398.94,0.21,-122.39976107,37.76385141
159,Cayuga-Lamartine Mini Park,0.643,Clubhouse,Willie Woo Woo Wong Clubhouse,850 Sacramento St,CA,94108,"3,403.84",243.06,0.08,-122.40690115,37.79359973
195,Peixotto Playground,0.9059999999999999,Clubhouse,McCoppin Square Clubhouse,24th & Taraval,CA,94116,"1,220.97",186.16,0.03,-122.48075768,37.743533
100,Richmond Playground,0.975,Basketball Court,Sunnyside Basketball Courts,Terisita Ave & Melrose,CA,94127,"5,666.13",304.65,0.13,-122.44688777,37.73295943
109,Presidio Heights Playground,0.986,Restroom,Balboa Park East Bathrooms,Ocean & San Jose,CA,94112,"1,008.10",127.06,0.02,-122.44423221,37.72518276
89,Golden Gate Heights Park,0.889,Basketball Court,Palega Basketball Courts,500 Felton,CA,94134,"7,360.71",362.13,0.17,-122.41004368,37.72889564
8,Douglass Playground,0.9259999999999999,Ball Field,Crocker Amazon - ball fields,Moscow & Italy Streets,CA,94112,"515,443.48","5,506.27",11.83,-122.43050192,37.71451183
23,Juri Commons,0.8859999999999999,Ball Field,James Lang Ball Fields,1016 Laguna,CA,94102,"98,547.66","1,395.62",2.26,-122.42465985,37.78097316
61,Mission Playground,0.9570000000000001,Basketball Court,Grattan Basketball Courts,1180 Stanyan St,CA,94117,"7,371.66",350.31,0.17,-122.45151797,37.76245816
176,Mullen-Peralta Mini Park,0.833,Activity Center,GGP1 Sharon Arts Studio,Sharon Meadow,CA,94117,"8,482.90",513.54,0.19,-122.4582116,37.76827229
191,Kid Power Park,0.917,Clubhouse,Laurel Hill Clubhouse,Euclid & Collins St,CA,94118,"1,340.12",184.90,0.03,-122.45120921,37.78370026
103,Lincoln Park,0.7440000000000001,Basketball Court,Walter Haas Basketball Courts,Addison & Farnum,CA,94131,"4,080.70",264.14,0.09,-122.43480806,37.74043202
101,Park Presidio Boulevard,0.914,Basketball Court,Sunset Basketball Courts,2201 Lawton,CA,94122,"5,862.01",325.58,0.13,-122.48655481,37.75667826
136,St. Mary's Square,0.843,Restroom,Jefferson Square Bathrooms,Eddy & Gough,CA,94109,449.39,90.24,0.01,-122.42546457,37.78153236
141,Portsmouth Square,0.917,Restroom,Lower Great Hwy Wawona Bathrooms,Great Hwy & Noriega,CA,94122,"3,391.89","1,046.45",0.08,-122.50634897,37.73640946
119,Margaret S. Hayward Playground,0.852,Restroom,GGP3 Arboretum South Restrooms,Stanyan & Great Hwy,CA,94117,330.08,78.29,0.01,-122.46834526,37.76680021
104,Grattan Playground,0.941,Basketball Court,West Sunset Basketball Courts,3223 Ortega St & 39th Ave,CA,94116,"7,821.63",370.90,0.18,-122.49777649,37.75025416
52,Potrero Hill Recreation Center,0.79,Basketball Court,Cayuga Basketball Courts,Cayuga & Naglee St,CA,94112,"7,743.78",358.06,0.18,-122.45013946,37.71405211
29,Excelsior Playground,0.937,Ball Field,Palega ball fields,500 Felton,CA,94134,"84,054.70","1,281.83",1.93,-122.40925318,37.72949294
68,West Portal Playground,0.966,Basketball Court,James Rolph Jr Basketball Courts,Potrero & Cesar Chavez St,CA,94110,"7,643.30",509.15,0.18,-122.40654275,37.75007779
7,George Christopher Playground,0.907,Ball Field,Larsen Ball Fields,19th Avenue & Vicente,CA,94116,"20,560.18",567.36,0.47,-122.47602952,37.74084587
44,Gilman Playground,0.866,Basketball Court,Rossi Basketball Courts,Arguello & Anza,CA,94118,"5,991.51",319.90,0.14,-122.45738243,37.779225200000006
39,Silver Terrace Playground,0.88,Ball Field,West Sunset Ball Fields,3223 Ortega St & 39th Ave,CA,94116,"222,407.85","3,633.31",5.11,-122.49865249999999,37.74905447
107,Laurel Hill Playground,0.8170000000000001,Restroom,Alamo: Restrooms,Hayes & Steiner,CA,94117,479.59,96.29,0.01,-122.43430821,37.776068
94,Golden Gate Park,0.8390000000000001,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
28,John McLaren Park,0.711,Ball Field,Parkside ball fields,28th Ave & Vicente,CA,94116,"104,340.63","1,513.14",2.40,-122.48430123,37.73838541
157,Selby-Palou Mini Park,0.7879999999999999,Clubhouse,Cabrillo Clubhouse,38th Ave  &  Cabrillo,CA,94121,"1,379.55",194.21,0.03,-122.49845418,37.77309962
164,Crocker Amazon Playground,0.852,Clubhouse,Excelsior Clubhouse,Russia Ave & Madrid,CA,94112,"2,747.37",278.84,0.06,-122.43361483,37.72024888
115,Koshland Park,0.946,Restroom,DuPont Courts Restrooms,30th Ave & Clement,CA,94121,291.66,75.73,0.01,-122.49084001,37.78287907
94,Golden Gate Park,0.8270000000000001,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
94,Golden Gate Park,0.81,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
81,Buena Vista Park,0.851,Basketball Court,Mission Dolores Basketball Courts,19th & Dolores St,CA,94110,"6,114.34",324.17,0.14,-122.42739885,37.76103393
129,Alta Plaza,0.845,Restroom,GGP5 Polo Field Bathroom,Stanyan & Great Hwy,CA,94117,"2,269.85",199.66,0.05,-122.49278049,37.76678507
110,Cow Hollow Playground,0.9520000000000001,Restroom,Bay View Restrooms,3rd & Armstrong,CA,94124,455.11,85.75,0.01,-122.39302007,37.72555732
89,Golden Gate Heights Park,0.898,Basketball Court,Palega Basketball Courts,500 Felton,CA,94134,"7,360.71",362.13,0.17,-122.41004368,37.72889564
14,Lessing-Sears Mini Park,0.8859999999999999,Ball Field,GGP2 Big Rec Ball Fields,Stanyan & Great Hwy,CA,94117,"338,875.05","2,546.55",7.78,-122.46453564,37.76739107
29,Excelsior Playground,0.914,Ball Field,Palega ball fields,500 Felton,CA,94134,"84,054.70","1,281.83",1.93,-122.40925318,37.72949294
67,Sunnyside Playground,0.976,Basketball Court,Jackson Basketball Courts,17th & Arkansas St,CA,94107,"9,047.84",398.94,0.21,-122.39976107,37.76385141
113,Duboce Park,0.977,Restroom,Larsen Restrooms,19th Ave & Vicente,CA,94116,323.65,77.39,0.01,-122.47604401,37.73945888
104,Grattan Playground,0.75,Basketball Court,West Sunset Basketball Courts,3223 Ortega St & 39th Ave,CA,94116,"7,821.63",370.90,0.18,-122.49777649,37.75025416
17,Merced Heights Playground,0.986,Ball Field,Jackson ball fields,17th & Arkansas Street,CA,94107,"147,298.32","1,631.63",3.38,-122.39966866,37.7644047
60,Jose Coronado Playground,0.8170000000000001,Basketball Court,GGP1 Panhandle Basketball Courts,Stanyan & Great Hwy,CA,94117,"4,645.55",279.47,0.11,-122.44838047,37.77230438
62,Alioto Mini Park,0.9590000000000001,Basketball Court,Hayes Valley Basketball Courts,Hayes & Buchanan St,CA,94102,"7,077.50",358.40,0.16,-122.42709066,37.77609582
140,Betty Ann Ong Chinese Recreation Center,0.8909999999999999,Restroom,Lower Great Highway Taraval Restrooms,Great Hwy & Taraval,CA,94122,"5,215.72",489.54,0.12,-122.50704685,37.7413345
96,Fulton Playground,0.977,Basketball Court,Friend Basketball Courts,270 6th St,CA,94103,"6,206.84",325.53,0.14,-122.40664464,37.77871683
98,DuPont Courts,0.9,Basketball Court,St Mary's Basketball Courts,Murray & Justin Dr,CA,94112,"7,571.20",375.26,0.17,-122.42106171,37.73337066
134,Father Alfred E. Boeddeker Park,0.7290000000000001,Restroom,Holly Park Bathrooms,Holly Park Cir,CA,94110,446.50,92.09,0.01,-122.42057329,37.73711761
114,Page-Laguna Mini Park,0.976,Maintenance Facility,Huntington Park Maint Bldgs,California & Taylor,CA,94108,299.71,64.77,0.01,-122.41227409999999,37.7920544
106,Beideman-O'Farrell Mini Park,0.75,Restroom,Rogers: Restrooms,Ingalls & Oakdale,CA,94124,541.24,94.82,0.01,-122.38372054,37.73087851
202,Utah-18th Street Mini Park,0.821,Clubhouse,Pine Lake Park Clubhouse,Sloat Blvd & Vale St,CA,94116,"1,707.81",191.99,0.04,-122.48719667,37.73602297
88,McCoppin Square,0.845,Basketball Court,Parkside Square Basketball Courts,28th Ave & Vicente,CA,94116,"2,332.73",203.41,0.05,-122.48342987,37.73875894
86,Carl Larsen Park,0.8079999999999999,Basketball Court,Ocean View Basketball Courts,Capitol & Montana St,CA,94112,"5,572.02",311.98,0.13,-122.45670775,37.71633478
150,Joe DiMaggio North Beach Playground,0.9890000000000001,Restroom,Washington Square Bathrooms,Filbert & Stockton & Columbus,CA,94133,287.28,83.94,0.01,-122.41063078,37.80105784
148,Michelangelo Playground,0.9640000000000001,Restroom,St Mary's Square Bathrooms,California St & Grant St,CA,94108,448.58,94.36,0.01,-122.40507908,37.79171479
144,Washington-Hyde Mini Park,0.871,Restroom,Mountain Lake Restrooms,12th Ave & Lake St,CA,94118,907.68,158.00,0.02,-122.47175615,37.78697309
139,Willie Woo Woo Wong Playground,0.95,Restroom,Lower Great Highway Judah Restrooms,Great Hwy & Noriega,CA,94122,"1,844.32",190.93,0.04,-122.50955359999999,37.76024004
141,Portsmouth Square,0.986,Restroom,Lower Great Hwy Wawona Bathrooms,Great Hwy & Noriega,CA,94122,"3,391.89","1,046.45",0.08,-122.50634897,37.73640946
157,Selby-Palou Mini Park,0.86,Clubhouse,Cabrillo Clubhouse,38th Ave  &  Cabrillo,CA,94121,"1,379.55",194.21,0.03,-122.49845418,37.77309962
46,Adam Rogers Park,0.889,Basketball Court,Bernal Hts RC  Basketball Courts,500 Moultrie St,CA,94110,"3,530.33",244.47,0.08,-122.41633421,37.73824803
38,Bay View Playground,0.865,Ball Field,Visitacion Valley Ball Fields,Cora & Leland St,CA,94134,"53,257.90",886.44,1.22,-122.40908358,37.71227452
44,Gilman Playground,0.924,Basketball Court,Rossi Basketball Courts,Arguello & Anza,CA,94118,"5,991.51",319.90,0.14,-122.45738243,37.779225200000006
188,Palou-Phelps Park,0.935,Clubhouse,Julius Kahn Clubhouse,West Pacific Ave & Spruce St,CA,94118,"1,443.45",163.63,0.03,-122.45373436,37.79124744
147,Washington Square,0.986,Restroom,Portsmouth Square Bathrooms,Washington & Walter Lum Pl,CA,94111,858.30,133.31,0.02,-122.40560121,37.79460147
149,Telegraph Hill/Pioneer Park,0.943,Restroom,States Street Restrooms,States St,CA,94114,298.62,80.85,0.01,-122.43856985,37.76376486
187,Parque Ninos Unidos,0.975,Clubhouse,Louis Sutter Clubhouse,Wayland & Yale St,CA,94134,"2,487.21",176.85,0.06,-122.41437425,37.72238701
182,Fillmore-Turk Mini Park,1.0,Clubhouse,J. P. Murphy Clubhouse,1960 9th Ave,CA,94116,"2,599.03",236.38,0.06,-122.46524302,37.75156572
34,Coleridge Mini Park,0.9640000000000001,Ball Field,St Mary's Ball Fields,Murray & Justin Dr,CA,94112,"84,078.55","1,213.73",1.93,-122.42088341,37.7344511
33,Bernal Heights Recreation Center,0.9109999999999999,Ball Field,South Sunset Ball Fields,40th Ave & Vicente St,CA,94116,"97,238.46","1,772.81",2.23,-122.49845826,37.73710357
54,Jackson Playground,0.99,Basketball Court,Jose Coronado Basketball Courts,21st & Folsom,CA,94110,"6,941.85",354.07,0.16,-122.41525922,37.75750603
53,McKinley Square,0.649,Basketball Court,Basketball Courts,Washington & Mason St,CA,94108,"4,599.32",285.19,0.11,-122.41204267,37.79411551
55,Franklin Square,0.727,Basketball Court,Crocker Amazon Basketball Courts,Moscow & Italy St,CA,94112,"16,364.79",724.78,0.38,-122.43084993,37.71474057
18,Brooks Park,0.9570000000000001,Ball Field,Rolph ball fields,Potrero & Cesar Chavez Street,CA,94110,"84,562.76","1,302.17",1.94,-122.40613959999999,37.74951809
94,Golden Gate Park,0.987,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
164,Crocker Amazon Playground,0.53,Clubhouse,Excelsior Clubhouse,Russia Ave & Madrid,CA,94112,"2,747.37",278.84,0.06,-122.43361483,37.72024888
10,Lake Merced Park,0.943,Ball Field,Eureka Valley Ball Fields,100 Collingwood,CA,94114,"32,412.15",705.06,0.74,-122.4366393,37.7595074
102,Mountain Lake Park,0.9079999999999999,Basketball Court,Upper Noe Basketball Courts,Day & Sanchez St,CA,94131,"5,471.94",304.93,0.13,-122.42795075,37.74226468
160,Brotherhood-Chester Mini Park,0.5710000000000001,Clubhouse,Jose Coronado Clubhouse,21st & Folsom,CA,94110,"1,719.76",169.15,0.04,-122.41506007,37.75773343
196,Head-Brotherhood Mini Park,0.622,Maintenance Facility,Michelangelo Gardeners Shed,Greenwich & Jones,CA,94133,249.74,68.37,0.01,-122.41678045,37.80126925
73,Seward Mini Park,0.8420000000000001,Basketball Court,Koshland Park Basketball Courts,Page & Buchanan,CA,94102,"1,589.22",151.94,0.04,-122.42699192,37.77327797
200,States Street Playground,0.9540000000000001,Clubhouse,Parque Ninos Unidos Clubhouse,23rd & Treat St,CA,94110,"2,043.34",288.86,0.05,-122.41389356,37.75431392
63,Mission Dolores Park,0.7809999999999999,Basketball Court,Head/Brotherhood Basketball Courts,Head St & Brotherhood Way,CA,94112,"5,011.46",296.28,0.12,-122.46417493,37.7126251
166,Julius Kahn Playground,0.935,Clubhouse,Gilman Clubhouse,Gilman Ave & Griffith,CA,94124,"3,479.97",236.52,0.08,-122.38832992,37.71682579
155,Muriel Leff Mini Park,0.9229999999999999,Clubhouse,Argonne: Clubhouse,18th Ave  &  Geary Blvd,CA,94121,"1,629.31",213.18,0.04,-122.47766682,37.77958789
126,Japantown Peace Plaza,0.882,Restroom,GGP1 Conservatory Bathroom,Stanyan & Great Hwy,CA,94117,"1,292.93",145.49,0.03,-122.46077534,37.77259623
193,Esprit Park,0.935,Clubhouse,MS Hayward Historic Clubhouse,1016 Laguna,CA,94102,"1,016.87",169.68,0.02,-122.42668959,37.7807431
94,Golden Gate Park,0.83,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
122,Jefferson Square,0.765,Restroom,GGP4 Mothers Meadow Bathroom,M.L. King Dr/19th Ave,CA,94117,"1,381.34",154.49,0.03,-122.47668133,37.76637364
48,India Basin Shoreline Park,0.722,Basketball Court,Boeddeker Park Basketball Courts,295 Eddy St,CA,94102,"2,591.24",203.79,0.06,-122.41243003,37.78432754
45,Youngblood Coleman Playground,0.885,Basketball Court,Argonne: Basketball,18th Ave  &  Geary Blvd,CA,94121,"4,209.02",268.01,0.10,-122.47793647,37.77928896
23,Juri Commons,0.935,Ball Field,James Lang Ball Fields,1016 Laguna,CA,94102,"98,547.66","1,395.62",2.26,-122.42465985,37.78097316
