ParkID,Park,Score,Facility Type,Facility Name,Address,State,Zipcode,Square Feet,Perimeter Length(ft),Acres,Longitude,Latitude
52,Potrero Hill Recreation Center,0.831,Basketball Court,Cayuga Basketball Courts,Cayuga & Naglee St,CA,94112,"7,743.78",358.06,0.18,-122.45013946,37.71405211
159,Cayuga-Lamartine Mini Park,0.545,Clubhouse,Willie Woo Woo Wong Clubhouse,850 Sacramento St,CA,94108,"3,403.84",243.06,0.08,-122.40690115,37.79359973
31,St. Mary's Recreation Center,0.976,Ball Field,Raymond Kimbell ball fields,Steiner & O'Farrell Street,CA,94115,"104,365.61","1,535.72",2.40,-122.43509741,37.78270623
94,Golden Gate Park,0.877,Basketball Court,Selby/Palou Basketball Courts,Palou & Selby,CA,94124,552.11,94.49,0.01,-122.40020504,37.73900113
141,Portsmouth Square,0.7140000000000001,Restroom,Lower Great Hwy Wawona Bathrooms,Great Hwy & Noriega,CA,94122,"3,391.89","1,046.45",0.08,-122.50634897,37.73640946
134,Father Alfred E. Boeddeker Park,1.0,Restroom,Holly Park Bathrooms,Holly Park Cir,CA,94110,446.50,92.09,0.01,-122.42057329,37.73711761
164,Crocker Amazon Playground,0.809,Clubhouse,Excelsior Clubhouse,Russia Ave & Madrid,CA,94112,"2,747.37",278.84,0.06,-122.43361483,37.72024888
13,Junipero Serra Playground,0.935,Ball Field,Glen ball fields,Diamond & Farnum Street,CA,94131,"124,520.49","1,891.68",2.86,-122.44059154,37.73600816
68,West Portal Playground,1.0,Basketball Court,James Rolph Jr Basketball Courts,Potrero & Cesar Chavez St,CA,94110,"7,643.30",509.15,0.18,-122.40654275,37.75007779
196,Head-Brotherhood Mini Park,0.9570000000000001,Maintenance Facility,Michelangelo Gardeners Shed,Greenwich & Jones,CA,94133,249.74,68.37,0.01,-122.41678045,37.80126925
17,Merced Heights Playground,0.747,Ball Field,Jackson ball fields,17th & Arkansas Street,CA,94107,"147,298.32","1,631.63",3.38,-122.39966866,37.7644047
70,Miraloma Playground,0.914,Basketball Court,Julius Kahn Basketball Courts,West Pacific Ave & Spruce St,CA,94118,"5,049.66",295.52,0.12,-122.45432447,37.791217200000006
1,Glen Park,0.858,Ball Field,Chalmers: Ball Fields,670 Brunswick & Lowell Roemer,CA,94112,"43,710.02",856.15,1.00,-122.44643687,37.70989615
158,Joost-Baden Mini Park,0.5710000000000001,Clubhouse,Cayuga Clubhouse,Cayuga & Naglee St,CA,94112,"3,211.76",233.43,0.07,-122.44979162,37.71423603
34,Coleridge Mini Park,0.632,Ball Field,St Mary's Ball Fields,Murray & Justin Dr,CA,94112,"84,078.55","1,213.73",1.93,-122.42088341,37.7344511
182,Fillmore-Turk Mini Park,0.73,Clubhouse,J. P. Murphy Clubhouse,1960 9th Ave,CA,94116,"2,599.03",236.38,0.06,-122.46524302,37.75156572
122,Jefferson Square,0.7879999999999999,Restroom,GGP4 Mothers Meadow Bathroom,M.L. King Dr/19th Ave,CA,94117,"1,381.34",154.49,0.03,-122.47668133,37.76637364
107,Laurel Hill Playground,0.8959999999999999,Restroom,Alamo: Restrooms,Hayes & Steiner,CA,94117,479.59,96.29,0.01,-122.43430821,37.776068
166,Julius Kahn Playground,0.872,Clubhouse,Gilman Clubhouse,Gilman Ave & Griffith,CA,94124,"3,479.97",236.52,0.08,-122.38832992,37.71682579
108,Bush-Broderick Mini Park,0.7140000000000001,Restroom,Alta: Restrooms,Jackson & Steiner,CA,94115,213.12,60.73,0.00,-122.43815497,37.7912412
119,Margaret S. Hayward Playground,0.87,Restroom,GGP3 Arboretum South Restrooms,Stanyan & Great Hwy,CA,94117,330.08,78.29,0.01,-122.46834526,37.76680021
105,Angelo J. Rossi Playground,0.909,Basketball Court,YoungbloodColeman Basketball Courts,Mendell & Galvez,CA,94124,"10,461.24",450.06,0.24,-122.38380193,37.73816799
114,Page-Laguna Mini Park,0.833,Maintenance Facility,Huntington Park Maint Bldgs,California & Taylor,CA,94108,299.71,64.77,0.01,-122.41227409999999,37.7920544
56,South Park,0.9790000000000001,Basketball Court,Duboce Park Basketball Courts,Duboce & Scott St,CA,94117,"4,241.34",277.38,0.10,-122.4342058,37.76943315
38,Bay View Playground,0.7170000000000001,Ball Field,Visitacion Valley Ball Fields,Cora & Leland St,CA,94134,"53,257.90",886.44,1.22,-122.40908358,37.71227452
44,Gilman Playground,0.7020000000000001,Basketball Court,Rossi Basketball Courts,Arguello & Anza,CA,94118,"5,991.51",319.90,0.14,-122.45738243,37.779225200000006
157,Selby-Palou Mini Park,0.5479999999999999,Clubhouse,Cabrillo Clubhouse,38th Ave  &  Cabrillo,CA,94121,"1,379.55",194.21,0.03,-122.49845418,37.77309962
102,Mountain Lake Park,0.8490000000000001,Basketball Court,Upper Noe Basketball Courts,Day & Sanchez St,CA,94131,"5,471.94",304.93,0.13,-122.42795075,37.74226468
124,Raymond Kimbell Playground,0.568,Restroom,GGP2 Big Rec Bathroom,Stanyan & Great Hwy,CA,94117,"1,854.90",185.78,0.04,-122.46536323,37.76853068
