,Unnamed: 0,id,name,rating,address,city,lat,long,zip code
165,165,t-spot-boba-drinks-and-snacks-san-jose,T Spot Boba Drinks & Snacks,4.0,2520 Berryessa Rd,San Jose,37.3879799,-121.8588819,95132
166,166,meow-tea-san-jose,Meow Tea,4.0,2857 Senter Rd,San Jose,37.29956,-121.84016,95111
167,167,fantasia-coffee-and-tea-san-jose-4,Fantasia Coffee & Tea,3.5,378 Santana Row,San Jose,37.319475621662,-121.94762103391001,95050-6325
168,168,monster-boba-cupertino-3,Monster Boba,3.5,10787 S Blaney Ave,Cupertino,37.3112882127292,-122.02362399548299,95014-4500
169,169,teasociety-san-jose,Teasociety,3.5,1658 E Capitol Expy,San Jose,37.306154683674,-121.810519318524,95121
170,170,bfresh-snacks-and-drinks-san-jose,BFresh Snacks & Drinks,4.0,3005 Silver Creek Rd,San Jose,37.308647155761705,-121.813461303711,95111
171,171,beibay-tea-san-jose,BeiBay Tea,4.0,1180 Blossom Hill Rd,San Jose,37.2497081431029,-121.87928677485701,95118
172,172,gong-cha-san-jose-19,Gong Cha,3.5,1701 Lundy Ave,San Jose,37.38753,-121.88725,95131
173,173,sweet-gelato-tea-lounge-san-jose,Sweet Gelato Tea Lounge,4.5,979 Story Rd,San Jose,37.33133611473671,-121.85738194973801,95122
174,174,sharetea-san-jose-3,Sharetea,3.5,1728 Hostetter Rd,San Jose,37.387508,-121.882934,95131
175,175,gong-cha-san-jose-8,Gong Cha,3.5,1600 Saratoga Ave,San Jose,37.2923420099239,-121.98874441586399,95130
176,176,soyful-desserts-san-jose-8,Soyful Desserts,4.0,3005 Silver Creek Rd,San Jose,37.3090745900201,-121.81442657547501,95121
177,177,oooh-san-jose-4,Oooh,4.0,1783 E Capitol Expwy,San Jose,37.309508,-121.809918,95121
178,178,the-tea-zone-lounge-san-jose,The Tea Zone Lounge,4.0,403 N Capitol Ave,San Jose,37.3720189850199,-121.846125258572,93133
179,179,the-moo-bar-santa-clara,The Moo Bar,3.5,1080 Kiely Blvd,Santa Clara,37.3459400429099,-121.979151964188,95051-4409
180,180,tapioca-express-san-jose-8,Tapioca Express,4.0,81 Curtner Ave,San Jose,37.30303747825121,-121.864601250072,95125
181,181,purple-kow-san-jose-4,Purple Kow,3.5,2435 S King Rd,San Jose,37.3210352284759,-121.825406030688,95122
182,182,heritage-eats-napa,Heritage Eats,4.5,3824 Bel Aire Plz,Napa,38.32387,-122.30711,94558
183,183,yobelle-napa-2,YoBelle,3.5,1000 Main St,Napa,38.2991692041736,-122.285283794503,94559
184,184,morimoto-napa-napa,Morimoto Napa,4.0,610 Main St,Napa,38.29671,-122.28328,94559
185,185,napa-noodles-napa,Napa Noodles,3.0,1124 1st St,Napa,38.2988340542314,-122.28645868599399,94559
186,186,crave-cafe-and-catering-american-canyon,Crave Cafe & Catering,3.5,3419 Broadway St,American Canyon,38.1689755277082,-122.254305819574,94503
187,187,quickly-american-canyon-3,Quickly,2.5,410 Napa Junction Rd,American Canyon,38.1848877668381,-122.253697514534,
188,188,top-that-frozen-yogurt-sonoma,Top That Frozen Yogurt,3.5,531 Broadway Ave,Sonoma,38.2914143800735,-122.45805837214,95476
189,189,over-the-top-shop-frozen-yogurt-american-canyon,Over The Top Shop Frozen Yogurt,2.5,5075 Main St,American Canyon,38.18098,-122.25395,94503
190,190,sushi-grill-vallejo,Sushi Grill,4.0,5184 Sonoma Blvd,Vallejo,38.148088261589706,-122.252996214118,94589
191,191,palm-thai-bistro-fairfield,Palm Thai Bistro,4.5,5089 Business Center Dr,Fairfield,38.215523,-122.143181,94534
192,192,green-bamboo-restaurant-fairfield,Green Bamboo Restaurant,3.5,4437 Central Pl,Fairfield,38.2219399,-122.12513,94534
193,193,thai-kitchen-american-canyon,Thai Kitchen,3.5,3425 Broadway St,American Canyon,38.17015,-122.25411,94503
194,194,sactomofo-sacramento-6,SactoMofo,3.5,,Sacramento,38.67463,-121.50861,95835
195,195,westea-pleasanton,Westea,4.0,4233 Rosewood Dr,Pleasanton,37.69838055066379,-121.874124370515,94588
196,196,baotea-cafe-pleasanton-2,BaoTea Cafe,4.5,6654 Koll Center Pkwy,Pleasanton,37.658818,-121.898176,94566
197,197,i-tea-dublin-dublin,i-Tea - Dublin,4.0,4064 Grafton St,Dublin,37.703198955631706,-121.865862095172,94568
198,198,aroma-tapioca-tea-and-coffee-pleasanton,Aroma Tapioca Tea & Coffee,3.5,4833 Hopyard Rd,Pleasanton,37.69288,-121.90177,94588
199,199,i-tea-pleasanton,i-Tea,4.0,915 Main St,Pleasanton,37.6659099,-121.87418,94566
200,200,t4-dublin,T4,3.5,3744 Fallon Rd,Dublin,37.7038018033117,-121.851168151661,94550
201,201,tea-factory-dublin-2,Tea Factory,4.0,8945 San Ramon Rd,Dublin,37.7222341,-121.9419009,94568
202,202,icicles-pleasanton,ICICLES,4.0,600 Main St,Pleasanton,37.661346,-121.87506,94566
203,203,sharetea-dublin-3,Sharetea,4.0,7375 Amador Valley Blvd,Dublin,37.7103899,-121.92744,94588
204,204,cafe-tapioca-dublin,Cafe Tapioca,3.5,7160 Regional St,Dublin,37.70395900000001,-121.9342246,94588
205,205,quickly-pleasanton,Quickly,3.5,1 Stoneridge Mall Rd,Pleasanton,37.695654440550896,-121.929317861795,94588
206,206,letea-pleasanton-2,LeTea,2.5,4299 Rosewood Dr,Pleasanton,37.69956,-121.87326000000002,94588
207,207,tea-breeze-pleasanton,Tea Breeze,3.0,4275 Rosewood Dr,Pleasanton,37.69948196411129,-121.87408447265601,94588
208,208,360-crepes-pleasanton-3,360 Crepes,4.0,3120 Santa Rita Rd,Pleasanton,37.6905054,-121.8774678,94566
209,209,t4-san-ramon-2,T4,3.5,9140 Alcosta Blvd,San Ramon,37.73021,-121.93009,94583
210,210,i-tea-san-ramon-3,i-Tea,4.0,21001 San Ramon Valley Blvd,San Ramon,37.7241,-121.94435,94583
211,211,snowflake-dublin,Snowflake,3.5,4288 Dublin Blvd,Dublin,37.7048059696965,-121.875150612505,94568
212,212,quickly-dublin,Quickly,2.5,4288 Dublin Blvd,Dublin,37.705825,-121.876084,94588
213,213,cafe-taiwan-pleasanton-9,Cafe Taiwan,4.0,3550 Stanley Blvd,Pleasanton,37.669658,-121.858772,94566
214,214,cafe-junction-pleasanton-3,Cafe Junction,4.0,5321 Hopyard Rd,Pleasanton,37.6994,-121.9048344,94588
